Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,40/70 Club
Matt Olson*,28,1B,3.3,162,699,616,86,148,44,0,34,103,0,0,75,170,0.24,0.325,0.477,0.802,120,0.344,116,294,13,4,0,4,6,*3,0,Left,No,No,No,No,No,No,No
Dansby Swanson,28,SS,5.5,162,696,640,99,177,32,1,25,96,18,7,49,182,0.277,0.329,0.447,0.776,114,0.342,113,286,12,3,0,4,0,*6,"AS,MVP-12,GG",Right,No,No,No,No,No,No,No
Austin Riley,25,3B,6.3,159,693,615,90,168,39,2,38,93,2,0,57,168,0.273,0.349,0.528,0.878,140,0.38,141,325,13,17,0,4,1,*5/3H,"AS,MVP-6",Right,No,No,No,No,No,No,No
Michael Harris II*,21,CF,5.2,114,441,414,75,123,27,3,19,64,20,2,21,107,0.297,0.339,0.514,0.853,133,0.38,135,213,7,5,1,0,0,*8,"MVP-13,ROY-1",Left,No,No,No,No,No,No,No
Travis d'Arnaud,33,C,2.8,107,426,396,61,106,25,1,18,60,0,0,19,90,0.268,0.319,0.472,0.791,117,0.347,117,187,12,11,0,0,0,2/DH,AS,Right,No,No,No,No,No,No,No
Marcell Ozuna,31,DH,-0.9,124,507,470,56,106,19,0,23,56,2,1,31,122,0.226,0.274,0.413,0.687,88,0.301,85,194,12,2,0,4,0,D7,0,Right,No,No,No,No,No,No,No
Ronald Acuña Jr.,24,RF,2.6,119,533,467,71,124,24,0,15,50,29,11,53,126,0.266,0.351,0.413,0.764,112,0.346,115,193,8,10,0,3,4,9D/H8,AS,Right,No,No,No,No,No,No,No
William Contreras,24,C,2.6,97,376,334,51,93,14,1,20,45,2,0,39,104,0.278,0.354,0.506,0.86,136,0.376,138,169,5,1,0,2,1,2D/H7,AS,Right,No,No,No,No,No,No,No
Adam Duvall,33,OF,-0.2,86,315,287,39,61,16,1,12,36,0,2,21,101,0.213,0.276,0.401,0.677,86,0.291,79,115,2,5,0,2,0,879/H,0,Right,No,No,No,No,No,No,No
Ozzie Albies#,25,2B,0.8,64,269,247,36,61,16,0,8,35,3,5,16,47,0.247,0.294,0.409,0.703,93,0.3,88,101,0,2,0,4,0,4/H,0,Both,No,No,No,No,No,No,No
Orlando Arcia,27,2B,0.7,67,234,209,25,51,9,0,9,30,0,0,21,51,0.244,0.316,0.416,0.733,102,0.327,104,87,7,2,0,2,0,4/D75H16,0,Right,No,No,No,No,No,No,No
Eddie Rosario*,30,LF,-1.7,80,270,250,27,53,12,1,5,24,3,0,17,68,0.212,0.259,0.328,0.587,62,0.263,56,82,3,0,0,3,0,79H/D,0,Left,No,No,No,No,No,No,No
Robbie Grossman#,32,OF,0.4,46,157,138,16,30,6,0,5,22,3,1,18,39,0.217,0.306,0.37,0.675,87,0.308,89,51,1,0,0,1,0,97/HD,0,Both,No,No,No,No,No,No,No
Vaughn Grissom,21,2B,0.9,41,156,141,24,41,6,0,5,18,5,2,11,34,0.291,0.353,0.44,0.792,119,0.345,115,62,0,3,0,1,1,4/6,0,Right,No,No,No,No,No,No,No
Guillermo Heredia,31,OF,-0.4,74,82,76,12,12,3,1,3,8,0,0,6,32,0.158,0.22,0.342,0.562,53,0.253,50,26,1,0,0,0,0,79H/8D,0,Right,No,No,No,No,No,No,No
Travis Demeritte,27,RF,-0.5,26,96,89,9,19,2,0,3,6,0,0,6,32,0.213,0.26,0.337,0.597,65,0.263,57,30,2,0,0,1,0,9/7H,0,Right,No,No,No,No,No,No,No
Chadwick Tromp,27,C,0.2,1,4,4,0,3,2,0,0,3,0,0,0,0,0.75,0.75,1.25,2.0,444,0.852,482,5,0,0,0,0,0,/2,0,Right,No,No,No,No,No,No,No
Alex Dickerson*,32,DH,-0.4,13,36,33,3,4,0,0,1,2,0,0,3,9,0.121,0.194,0.212,0.407,13,0.19,4,7,3,0,0,0,0,D/H9,0,Left,No,No,No,No,No,No,No
Manny Piña,35,C,-0.1,5,17,14,1,2,0,0,0,2,0,0,1,1,0.143,0.235,0.143,0.378,9,0.183,0,2,0,1,0,1,0,/2,0,Right,No,No,No,No,No,No,No
Phil Gosselin,33,2B,-0.1,12,24,23,4,6,0,0,0,0,0,0,1,6,0.261,0.292,0.261,0.553,56,0.25,48,6,0,0,0,0,0,4/H9,0,Right,No,No,No,No,No,No,No
Robinson Canó*,39,2B,-0.4,9,27,26,1,4,1,0,0,0,0,0,1,4,0.154,0.185,0.192,0.377,6,0.202,13,5,2,0,0,0,0,/4H,0,Left,No,No,No,No,No,No,No
Ehire Adrianza#,32,IF,0.1,6,16,13,3,2,1,0,0,0,0,0,3,3,0.154,0.313,0.231,0.543,55,0.265,59,3,0,0,0,0,0,/456,0,Both,No,No,No,No,No,No,No
Mike Ford*,29,DH,-0.2,5,8,7,0,0,0,0,0,0,0,0,1,2,0.0,0.125,0.0,0.125,-61,0.087,-70,0,0,0,0,0,0,/DH1,0,Left,No,No,No,No,No,No,No
Rylan Bannon,26,2B,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/4,0,Right,No,No,No,No,No,No,No
Jackson Stephens,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
