,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos.1,Awards
0,1,Frank Duncan,24,C,0.1,51,168,146,22,34,3,0,1,13,2,22,.233,.333,.274,.607,65,.296,74,40,2/3,
1,2,Lemuel Hawkins*,29,1B,0.3,76,273,258,37,75,12,6,0,35,6,15,.291,.330,.384,.713,91,.325,91,99,*3/479,
2,3,Newt Allen,24,2B,1.6,80,355,322,67,93,9,11,2,47,12,33,.289,.355,.404,.759,103,.348,104,130,45/86,
3,4,Dobie Moore,29,SS,2.2,78,336,321,71,100,17,12,4,77,12,15,.312,.342,.477,.819,118,.366,113,153,*6/9,
4,5,Newt Joseph,28,3B,1.1,52,209,198,26,64,12,2,1,30,8,11,.323,.359,.419,.778,108,.356,108,83,5,
5,6,George Sweatt,31,LF,0.0,50,183,162,20,39,6,4,1,16,3,21,.241,.328,.346,.674,81,.314,84,56,79/3,
6,7,Wade Johnston*,27,CF,1.2,76,336,303,55,86,17,6,4,42,5,33,.284,.354,.419,.773,107,.352,107,127,*87,
7,8,Hurley McNair*,36,RF,1.8,70,296,271,50,90,7,13,1,64,13,25,.332,.389,.465,.853,128,.389,127,126,*97/8,
8,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Awards
9,9,Dink Mothell#,27,2B,1.1,74,292,255,42,69,16,4,2,48,10,37,.271,.363,.388,.751,102,.350,105,99,4378/95,
10,10,Sylvester Foreman,29,C,0.3,48,146,127,17,30,4,2,1,15,0,19,.236,.336,.323,.658,78,.314,83,41,2,
11,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Awards
12,11,Bullet Rogan,31,P,1.8,50,139,125,24,45,7,8,2,40,6,14,.360,.424,.592,1.016,170,.450,163,74,1/7893,
13,12,Nelson Dean,26,P,-0.2,18,56,56,6,11,0,0,0,2,0,0,.196,.196,.196,.393,6,.182,5,11,1,
14,13,Bill Drake,30,P,-0.1,22,48,45,2,6,0,0,1,6,1,3,.133,.188,.200,.388,4,.185,6,9,1,
15,14,William Bell,27,P,-0.6,20,48,47,2,2,0,0,0,0,1,1,.043,.063,.043,.105,-71,.056,-72,2,1/78,
16,15,Cliff Bell,28,P,0.4,17,40,34,4,9,5,0,0,3,0,6,.265,.375,.412,.787,111,.365,114,14,1,
17,16,Chet Brewer#,18,P,0.3,11,16,14,2,7,0,0,0,0,0,2,.500,.563,.500,1.063,188,.499,194,7,1,
18,17,José Méndez,40,P,0.0,10,10,9,0,2,1,0,0,1,0,1,.222,.300,.333,.633,70,.296,72,3,/139,
19,18,Hop Bartlett,25,P,-0.1,3,8,8,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-104,0,/1,
20,,Team Totals,,,11.3,80,2959,2701,447,762,116,68,20,439,79,258,.282,.345,.398,.742,99,.341,99,1074,,
21,,Non-Pitcher Totals,,,9.7,,2594,2363,407,680,103,60,17,387,71,231,.288,.351,.404,.755,102,.346,103,954,,
22,,Pitcher Totals,,,1.6,,365,338,40,82,13,8,3,52,8,27,.243,.299,.355,.654,75,.301,75,120,,
