Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Valentín Dreke*,26,CF,1.7,46,210,190,32,74,12,0,2,38,6,16,0.389,0.448,0.484,0.932,155,0.438,154,92,4
Esteban Montalvo*,28,RF,1.3,45,201,176,34,57,10,5,7,37,3,20,0.324,0.408,0.557,0.965,162,0.438,154,98,5
Marcelino Guerra,34,LF,0.1,41,185,169,33,44,6,5,2,33,3,15,0.26,0.324,0.391,0.715,95,0.334,92,66,1
José Pérez,25,1B,1.0,41,165,141,23,40,5,1,2,25,1,18,0.284,0.388,0.376,0.764,109,0.371,114,53,6
Recurvon Terán,29,3B,-0.4,45,189,175,31,42,5,5,2,23,4,13,0.24,0.296,0.36,0.656,79,0.308,76,63,1
Felipe Sierra,22,2B,0.9,46,216,174,34,44,7,4,2,23,5,38,0.253,0.398,0.374,0.772,112,0.376,118,65,4
Ángel Alfonso,23,SS,1.5,46,207,175,36,46,5,6,2,20,5,29,0.263,0.377,0.394,0.771,111,0.369,113,69,3
Eufemio Abreu,23,C,0.2,43,168,155,21,41,9,2,1,17,2,13,0.265,0.321,0.368,0.689,88,0.325,87,57,0
Eustaquio Pedroso,37,UT,-0.3,31,98,90,10,16,4,1,1,8,1,8,0.178,0.245,0.278,0.523,43,0.25,43,25,0
Matías Ríos,29,3B,0.0,9,37,31,6,10,1,0,0,6,1,6,0.323,0.432,0.355,0.787,117,0.389,125,11,0
Lucas Boada,31,P,0.7,18,48,41,6,15,3,1,1,5,0,7,0.366,0.458,0.561,1.019,178,0.47,171,23,0
Cándido Salazar,26,P,0.0,15,30,29,4,6,1,0,0,2,0,1,0.207,0.233,0.241,0.475,30,0.229,29,7,0
Raúl Álvarez,22,P,0.2,9,24,20,2,5,0,0,0,1,1,3,0.25,0.375,0.25,0.625,73,0.327,87,5,1
Pedro Pastor,30,P,0.1,2,8,8,1,3,0,0,0,1,0,0,0.375,0.375,0.375,0.75,105,0.358,105,3,0
Pasqual Martínez,25,P,-0.1,12,25,22,3,2,0,0,0,0,0,2,0.091,0.2,0.091,0.291,-19,0.169,-5,2,1
