Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Bats
Cristóbal Torriente*,31,LF,1.7,89,351,296,53,78,11,7,9,66,5,55,0.264,0.379,0.439,0.818,119.0,0.373,120.0,130,Left
Jelly Gardner*,29,CF,0.7,85,357,324,48,92,10,3,2,44,9,33,0.284,0.35,0.352,0.702,89.0,0.328,93.0,114,Left
Jim Brown#,33,C,0.0,75,265,241,39,56,12,3,2,39,6,24,0.232,0.302,0.332,0.634,70.0,0.295,72.0,80,Both
Bobby Williams,29,SS,-0.8,85,328,307,44,64,12,0,2,36,6,21,0.208,0.259,0.267,0.526,42.0,0.247,44.0,82,Right
Dave Malarcher#,30,3B,2.5,87,361,315,57,102,12,0,2,35,20,46,0.324,0.41,0.381,0.791,114.0,0.378,120.0,120,Both
John Hines,24,RF,-0.2,72,256,239,30,57,12,5,2,31,1,17,0.238,0.289,0.356,0.645,72.0,0.293,72.0,85,Right
Willie Ware,25,1B,-1.2,65,242,230,25,47,10,6,0,26,2,12,0.204,0.244,0.3,0.544,45.0,0.247,44.0,69,Right
Bingo DeMoss,35,2B,-0.2,60,222,194,34,42,6,0,0,17,6,28,0.216,0.315,0.247,0.563,53.0,0.278,62.0,48,Right
Bill Francis,46,3B,0.0,26,86,74,9,16,1,0,0,8,1,12,0.216,0.326,0.23,0.555,52.0,0.279,63.0,17,Right
Earl Gurley*,26,P,0.3,23,77,72,8,23,4,3,0,8,0,5,0.319,0.364,0.458,0.822,119.0,0.371,117.0,33,Left
Felton Stratton,29,3B,-0.7,24,86,81,8,13,1,0,0,7,1,5,0.16,0.209,0.173,0.382,4.0,0.186,8.0,14,Right
LeRoy Taylor*,22,C,0.2,18,68,60,11,17,1,0,1,6,1,8,0.283,0.368,0.35,0.718,94.0,0.338,99.0,21,Left
Frank Stevens,,P,-0.3,20,47,45,5,7,2,1,0,5,0,2,0.156,0.191,0.244,0.436,16.0,0.2,15.0,11,Right
George Harney,35,P,-0.1,21,43,41,4,7,0,0,0,5,0,2,0.171,0.209,0.171,0.38,3.0,0.186,6.0,7,Right
George Dixon*,29,C,-0.4,16,51,47,6,7,0,0,0,4,1,4,0.149,0.216,0.149,0.365,0.0,0.185,7.0,7,Left
Bill McCall*,27,P,0.0,27,47,44,3,8,1,0,0,4,0,3,0.182,0.234,0.205,0.439,19.0,0.213,23.0,9,Left
Webster McDonald*,25,P,0.3,13,32,30,2,10,1,0,0,3,0,2,0.333,0.375,0.367,0.742,100.0,0.348,103.0,11,Left
Juan Padrón*,32,P,0.1,20,45,43,2,10,0,0,0,3,0,2,0.233,0.267,0.233,0.499,35.0,0.239,39.0,10,Left
Bill Foster#,21,P,0.1,11,24,23,2,5,0,1,0,2,0,1,0.217,0.25,0.304,0.554,48.0,0.253,46.0,7,Both
Aubry Owens,29,P,0.0,17,29,27,3,5,0,1,0,2,0,2,0.185,0.241,0.259,0.501,35.0,0.235,36.0,7,Right
Willie Powell*,21,P,0.0,4,11,11,1,2,1,0,0,1,0,0,0.182,0.182,0.273,0.455,20.0,0.201,16.0,3,Left
Eddie Miller,24,P,0.0,24,45,45,1,10,1,1,0,1,0,0,0.222,0.222,0.289,0.511,36.0,0.229,33.0,13,Right
James Bray,26,UT,-0.1,6,16,15,0,2,1,0,0,0,0,1,0.133,0.188,0.2,0.388,4.0,0.185,6.0,3,Right
Gibson,18,C,-0.1,1,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-105.0,0,Right
Will Owens,23,MI,-0.2,5,10,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-104.0,0,Right
Roy Tyler,25,,-0.1,2,8,8,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,35.0,0.232,35.0,2,Right
George Mitchell,25,P,-0.1,3,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-105.0,0,Right
Sam Crawford,33,P,0.0,1,2,2,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,170.0,0.464,175.0,1,Right
Howard Ross,22,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-107.0,0,Right
