Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos.1,Awards
1,Harry Barnes,22,C,-0.2,17,58,48,4,9,2,0,0,6,1,5,.188,.264,.229,.493,42,.244,47,11,0,5,2,
2,Henry McCall*,30,1B,0.1,23,94,92,11,28,3,3,1,16,1,2,.304,.319,.435,.754,115,.341,108,40,0,0,3,
3,Fred Bankhead,25,2B,-0.1,28,117,102,12,21,0,2,1,10,4,11,.206,.296,.275,.570,64,.281,71,28,2,2,4/627,
4,Andrew Sephus,24,SS,0.0,14,52,39,6,4,0,0,0,0,2,11,.103,.314,.103,.416,23,.253,54,4,1,1,6,
5,Parnell Woods,26,3B,0.1,23,96,86,12,18,1,1,0,5,4,8,.209,.284,.244,.528,53,.265,61,21,1,1,5,AS
6,Melzar Williams,24,LF,0.0,21,88,84,7,23,2,3,0,9,3,4,.274,.307,.369,.676,94,.314,91,31,0,0,7/2,
7,Sylvester Owens,,CF,-0.2,25,96,90,8,19,1,1,0,11,2,5,.211,.253,.244,.497,43,.238,48,22,0,1,8/3,
8,David Whatley*,23,RF,1.3,24,102,94,20,39,6,2,0,9,4,7,.415,.461,.521,.982,182,.454,173,49,1,0,9/8,
9,Bert Johnson,32,OF,0.1,14,44,37,3,8,1,0,0,3,0,4,.216,.326,.243,.569,65,.290,77,9,2,1,/79,
10,Lester Lockett,26,SS,-0.1,9,36,31,3,1,1,0,0,2,0,5,.032,.167,.065,.231,-32,.141,-9,2,0,0,/6,
11,Bob Smith,31,UT,0.3,8,31,26,3,6,1,0,1,4,1,5,.231,.355,.385,.739,112,.352,113,10,0,0,/235,
12,Jimmy Ford,25,IF,0.1,4,18,17,2,7,0,0,0,2,0,1,.412,.444,.412,.856,147,.408,146,7,0,0,/56,
13,Cap Tyson,35,UT,0.1,7,10,6,3,2,0,0,0,0,0,3,.333,.600,.333,.933,172,.492,194,2,1,0,/259,
14,Bill Carter,,1B,0.0,4,10,9,1,3,0,0,0,0,0,0,.333,.400,.333,.733,112,.361,118,3,1,0,/3,
15,Leo Sims*,,2B,-0.2,2,6,5,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-127,0,0,1,/4,
16,G. Davis,,C,-0.1,1,4,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-152,0,0,1,/2,
17,Carl Smith,,SS,0.1,1,4,3,1,0,0,0,0,0,0,1,.000,.250,.000,.250,-25,.188,18,0,0,0,/6,
18,Scott,,OF,-0.1,1,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-89,0,0,0,/8,
19,Jim Canada*,26,1B,0.0,1,4,3,1,1,0,0,0,0,0,0,.333,.333,.333,.667,92,.314,88,1,0,1,/3,
20,Jabbo Andrews*,30,OF,0.0,1,4,3,0,1,0,0,0,0,0,0,.333,.500,.333,.833,142,.431,159,1,1,0,/9,
21,Horace Davis,,2B,0.1,1,4,4,1,1,0,0,1,2,0,0,.250,.250,1.000,1.250,249,.514,207,4,0,0,/4,
22,Cliff Blackmon,24,P,0.0,13,32,30,5,5,1,0,0,2,0,1,.167,.219,.200,.419,21,.207,29,6,1,0,1,
23,Elbert Eatmon,23,P,-0.1,10,14,14,1,1,0,0,0,0,0,0,.071,.071,.071,.143,-59,.067,-51,1,0,0,1,
24,Dick Burton,31,P,-0.1,10,13,12,0,1,1,0,0,1,0,0,.083,.083,.167,.250,-29,.110,-37,2,0,1,1,
25,Bo Mitchell,,P,-0.1,3,10,10,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-90,0,0,0,/1,
26,Julius Osley,23,P,0.1,8,6,6,0,2,0,0,0,0,0,0,.333,.333,.333,.667,92,.314,92,2,0,0,/1,
27,Thurston,,P,-0.1,1,5,5,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-90,0,0,0,/1,
28,Spoon Carter*,35,P,0.0,1,3,3,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-100,.000,-90,0,0,0,/1,
29,Charles Dunklin,23,P,0.0,2,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-89,0,0,0,/1,
30,Jimmie Armstead*,18,P,0.0,1,2,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,188,.471,182,1,0,0,/1,
31,Murray,,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-93,0,0,0,/1,
