Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,SH,Pos.1,Awards
1,Larry Brown#,40,C,0.2,20,71,61,3,15,3,0,0,8,0,6,.246,.313,.295,.609,88,.298,92,18,4,2,
2,Jelly Taylor*,31,1B,0.1,24,100,91,10,23,3,1,0,10,2,7,.253,.306,.308,.614,89,.296,91,28,2,3,
3,Fred Bankhead,29,2B,0.3,20,84,75,15,19,3,0,0,6,6,8,.253,.325,.293,.619,91,.313,96,22,1,4/8,"AS,AS"
4,T.J. Brown,26,SS,0.6,21,89,82,14,24,2,3,0,11,3,4,.293,.326,.390,.716,120,.338,115,32,3,6,AS
5,Marlin Carter*,29,3B,0.5,23,99,92,15,27,3,3,0,14,2,6,.293,.337,.391,.728,124,.342,119,36,1,5/4,"AS,AS"
6,Fred McDaniel*,29,LF,-0.1,20,85,74,14,15,0,2,0,6,0,10,.203,.298,.257,.554,71,.277,79,19,1,7/5,
7,Neil Robinson,34,CF,1.2,23,92,85,20,30,8,1,4,20,2,5,.353,.389,.612,1.001,206,.458,188,52,2,8/65,
8,Cowan Hyde,35,RF,0.3,24,106,104,20,32,4,1,0,9,8,0,.308,.308,.365,.673,107,.325,103,38,2,9,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,SH,Pos,Awards
9,Bob Smith,35,C,-0.1,5,16,14,1,2,0,0,0,1,0,2,.143,.250,.143,.393,22,.212,42,2,0,/2,
10,Bill Bradford*,28,,-0.2,4,15,14,1,2,0,0,0,0,0,0,.143,.143,.143,.286,-12,.136,-11,2,1,/78,
11,Nat Rogers*,48,,0.2,5,15,15,2,7,2,0,0,5,0,0,.467,.467,.600,1.067,227,.498,209,9,0,/7,
12,Gerves Fagan,26,2B,-0.1,3,11,10,0,2,0,0,0,0,0,0,.200,.200,.200,.400,23,.191,22,2,1,/4,
13,Rufus Hatten,21,C,0.0,1,4,3,1,0,0,0,0,0,0,1,.000,.250,.000,.250,-20,.186,27,0,0,/2,
14,Sam Segraves,22,2B,-0.1,1,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-82,0,0,/4,
15,Adams,,C,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,/2,
16,Verdell Mathis*,28,P,0.5,13,28,26,5,12,0,0,0,5,1,2,.462,.500,.462,.962,197,.458,188,12,0,1/78,AS
17,Porter Moss,32,P,0.2,8,24,22,3,6,1,0,0,2,0,1,.273,.304,.318,.623,92,.298,92,7,1,/1,AS
18,Willie Hutchinson,27,P,0.0,12,21,21,2,4,0,0,0,2,0,0,.190,.190,.190,.381,17,.181,24,4,0,1/89,
19,Felix Evans,31,P,0.1,4,12,12,1,2,0,0,1,2,0,0,.167,.167,.417,.583,77,.262,71,5,0,/18,
20,Robert Keyes*,,P,0.0,2,5,4,0,0,0,0,0,0,0,1,.000,.200,.000,.200,-36,.149,5,0,0,/1,
21,Ted Radcliffe,39,P,0.0,1,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-84,0,0,/1,
22,Joe Brooks,,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-77,0,0,/1,
23,Norris Phillips*,26,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-77,0,0,/1,
,Team Totals,,,3.5,24,885,813,127,222,29,11,5,101,24,53,.273,.318,.354,.672,106,.322,105,288,19,,
,Non-Pitcher Totals,,,2.9,,791,724,116,198,28,11,4,90,23,49,.273,.320,.359,.679,109,.325,107,260,18,,
,Pitcher Totals,,,0.7,,94,89,11,24,1,0,1,11,1,4,.270,.301,.315,.616,89,.295,91,28,1,,
